id,product,narrative
16,credit_reporting,true identity theft victim identity theft since try get two information listed blow deleted due fraud appears credit report relate transaction made result identity theft also victim data breach several account credit report mine listed also filed ftc report police report support claim here ftc report police report number ive called experian last past year going back fourth even called unable locate verify account using date birth confirmation experian report number account name account number date opened account name account number fraudulent debt hindering ability apply credit even get first time credit card people trying build credit know start next step take remedy situation caused financial emotional stress worst part denied job based negative information report subjected adverse action pertaining cra reporting inaccurate information result fraud victim identify theft placing fraud alert credit report ive also uploaded copy police report filed county sheriff office ftc report thank much help
17,credit_reporting,true identity theft victim identity theft information listed appears credit report relate transaction made result identity please block information report im member equifax data breach filed claim accordingly attempting clear credit report fraudulent item report number file number equifax file number account name account number account name account number account name account number account name account number account name account number account name account number account name account number account name account number account name account number
18,mortgages_and_loans,closed mortgage dovenmuhle mortgage paid full significant remaining balance escrow account waited refund check never arrived called dovenmuhle said sure check sent promised send waiting customary week processing business day delivery waited called back check never sent said could update new address phone email signed document asking updated mailing address asked wait day call back check asked overnighted agreed called initially said never received email resent two different email address eventually said found sure original attempt asked overnighted rep said needed manager approval meeting said call back manager called back left message saying check would processed within week mailed called back told way overnight asked manager put hold minute called back go entire thing asking manager put hold minute went automated survey disconnected waaaayyyy past day window refund escrow fund entire process unacceptable illegally hold money like
19,mortgages_and_loans,originally reached well fargo apply refinancing mortgage currently hold submitted application paid upfront fee applied survey documentation paperwork completed loan submitted approval final decision forthcoming within week notified loan rejected due debt income ratio better credit score last approved le year ago since eliminated different monthly mortgage payment would reduce current mortgage year year p l reflects higher income current apr would reduced thank help
20,mortgages_and_loans,original mortgage taken sold loan servicing company divorced service member year marriage received home divorce via quitclaim deed child support received full first year single mom demanded intervention employer unsupportive time combined sudden loss child support payment fell behind mortgage payment hardship began loan modification company still difficulty paying mortgage struggled fall realized essential repair could afford combined monthly expense could handle property filed deed lieu foreclosure loved house emotionally physically financially could anymore wanted right thing want go foreclosure lost job completed paper foreclosure someone approached interest house name broker could handle short sale loan servicing company point deep shut met broker broker said could stop everything short sale late would handle everything broker became sole communicator person interested property loan servicing company title clear home checked clear month go person interested left another interested party found broker continued tell problem title working argue question point deteriorated summer hospitalized also served foreclosure paper hospitalization began question broker bank going told house longer name transferred secretary va broker continuing try sell house claim original filed county clerk deed transferred secretary went back college summer one professor attorney contacted broker bank last full payment made account recorded contacted va said deed transferred back loan servicing company may contacted someone loan servicing company paper landed desk wanted know wanted emphatically told wanted completed loan referred another attorney foreclosure spoke several time attorney handling offered cooperation desire completed last year every single month loan servicing company reported late payment credit ruined unable find attorney willing represent case tried repair credit perfect payment credit card car loan paid car early settled two small debt score rental agency use determine eligibility horrendous barring living anywhere decent loan servicer still report late late fee interest past due payment accruing many year still contact several time per week idea credit destroyed year year worse allowed home go foreclosure ca even get loan
21,mortgages_and_loans,got letter property tax delinquent county called phh mortgage see happened check money taken escrow account told dispersed called told call back friday called talked sent escalation manager said would make top priority needed called left voicemail said needed talked connected another escalation manager told would take case wanted fax copy delinquent tax statement called county fax could email called left message emailing copy statement called get email could send tax statement called back email address sent tax statement called update could connected representative covid virus called update still could connected representative emailed request update still response update
22,mortgages_and_loans,fire house saved experienced damage insurance carrier prompt great job sent check window melted damaged made chase bank mortgage holder check chase endorsed check applied pressure work completed vendor paid work insurance company sent check additional work including wrought iron fence work including cleanup le disruptive vendor always show late held check window done took proof chase office chase want deposit fund internal account make go process everytime someone need reimbursed put necessary burden family especially time owe current value house chase made payment time want money held escrow account put additional burden stressful time reason given percentage ownership property well payment history
23,mortgages_and_loans,end term final bill dated received via usps charging exterior damage include substantiating documentation kind detailing type damage necessary repair repair statement included photo mechanic documentation would substantiate charge document indicates page documentation excluded error call lease end team resulted assurance could gotten information requested online making consumer responsibility get information provided finance company substantiate invoice
24,mortgages_and_loans,executive summary citibank making impossible pay trivial balance refusing supply address send check even valid phone number receive information instead adding late fee collection fee since seems somewhat incredible providing detail trying month resolve thanks help offer greeting despite fact maintain good credit rating citibank suddenly informed cutting overdraft credit line attached checking account checking plus amount outstanding trying week get citibank supply address may send check remaining balance approximately since citibank severed online banking access longer confirm exact amount look account still see balance reading longer call account rate decided close checking account able citibank online chat function since repeated attempt telephone failed transferred existing checking balance credit credit line asked agent pay remaining amount already paid remaining balance trivial note able pay amount transferring checking acct balance account closed avenue payment longer available responded follows give call custom credit department done instantly direct number please contact one stop sale unit asked know exactly payment may transmitted responded call pull fund bank account also send check kindly call tell specific called number directed none menu option pertained task went alternate path repeated attempt eventually managed speak someone however unable understand name instructed call collection account terminated referred collection told number call repeated make sure correct also affirmed late charge collection fee added balance phoned number recording said number tried several time point dead end citibank making literally impossible pay trivial debt adding late fee collection fee implore whatever help thank p matter loyal citibank customer since first new york washington dc forty year assure count nothing naturally also attempted pay bill online citibank site responds message account detail activity information available closed
25,debt_collection,signed lease company called illinois end lease charged moving outstanding balance sent requesting proof damage documentation fee heard reply month later receive notification account collection item never received phone call mail collection agency called collection agency kept putting hold hanging moving date realty company notification
26,debt_collection,creditor refuse provide income statement account receivable account payable
27,debt_collection,portfolio recovery associate making multiple daily call residence daily spoken requested cease call ignored request please help time call different number caller id portfoliorecov thank pa
28,debt_collection,calling everyday sometimes multiple time day collecting year old debt maybe others awaiting important phonecalls pick every call get always someone sometimes wo even say tell ca give information unless tell last time spoke someone told seriously harassing pandemic replied harassing calling multiple time day different random number harassment
29,debt_collection,federal tax refund returned refund process withheldon date president announced executive action related national emergencyfor repayment defaulted federal student loan federal tax refund returned process withhold refund completed letter show department education state need return refund attached document treasury department taken make arraignment phone type communication directly need back year refund call number provided loan invest time calling get fund back obligation return year refund file suit fraud damage incurred year collect refund back settle returning refund back year take loan credit
30,debt_collection,past transaction using reporting party creditor profile completely refunded item returned citibank allows third party thief enter break home steal financial statement copy card allow entry online banking review manage financial information aside resolve vendor dispute reporting party belief created highlight bad faith dealing involves unauthorized third party thief
